Close,Date
150.699997,2013-05-08
147.600006,2013-05-09
146.149994,2013-05-10
146.050003,2013-05-13
141.199997,2013-05-14
146.800003,2013-05-15
143.199997,2013-05-16
146.699997,2013-05-17
144.149994,2013-05-20
144.399994,2013-05-21
142.850006,2013-05-22
138.850006,2013-05-23
141.649994,2013-05-24
143.550003,2013-05-27
144.649994,2013-05-28
142.850006,2013-05-29
147.800003,2013-05-30
145.649994,2013-05-31
146.899994,2013-06-03
150.100006,2013-06-04
150.199997,2013-06-05
149.300003,2013-06-06
149.149994,2013-06-07
145.899994,2013-06-10
142.850006,2013-06-11
141.25,2013-06-12
139.100006,2013-06-13
139.899994,2013-06-14
140.199997,2013-06-17
142.649994,2013-06-18
143.350006,2013-06-19
140.899994,2013-06-20
136.350006,2013-06-21
133.350006,2013-06-24
133.800003,2013-06-25
133.350006,2013-06-26
129.399994,2013-06-27
134.199997,2013-06-28
141.0,2013-07-01
139.949997,2013-07-02
141.449997,2013-07-03
143.399994,2013-07-04
144.899994,2013-07-05
147.300003,2013-07-08
145.149994,2013-07-09
148.75,2013-07-10
147.449997,2013-07-11
147.649994,2013-07-12
153.949997,2013-07-15
153.699997,2013-07-16
157.050003,2013-07-17
154.850006,2013-07-18
155.75,2013-07-19
154.600006,2013-07-22
154.300003,2013-07-23
153.399994,2013-07-24
151.800003,2013-07-25
156.350006,2013-07-26
159.25,2013-07-29
158.550003,2013-07-30
159.699997,2013-07-31
147.199997,2013-08-01
146.350006,2013-08-02
142.800003,2013-08-05
137.75,2013-08-06
141.449997,2013-08-07
146.0,2013-08-08
145.449997,2013-08-12
146.5,2013-08-13
147.350006,2013-08-14
140.449997,2013-08-16
141.100006,2013-08-19
140.550003,2013-08-20
141.449997,2013-08-21
145.899994,2013-08-22
146.649994,2013-08-23
144.100006,2013-08-26
141.199997,2013-08-27
136.5,2013-08-28
138.350006,2013-08-29
139.0,2013-08-30
143.550003,2013-09-02
141.600006,2013-09-03
143.649994,2013-09-04
147.149994,2013-09-05
147.149994,2013-09-06
146.649994,2013-09-10
150.5,2013-09-11
150.649994,2013-09-12
152.050003,2013-09-13
149.949997,2013-09-16
148.100006,2013-09-17
147.600006,2013-09-18
150.5,2013-09-19
148.949997,2013-09-20
144.800003,2013-09-23
143.300003,2013-09-24
145.649994,2013-09-25
145.699997,2013-09-26
146.149994,2013-09-27
143.699997,2013-09-30
149.600006,2013-10-01
155.25,2013-10-03
152.949997,2013-10-04
156.050003,2013-10-07
155.5,2013-10-08
155.449997,2013-10-09
160.100006,2013-10-10
160.0,2013-10-11
159.399994,2013-10-14
157.75,2013-10-15
161.949997,2013-10-17
164.050003,2013-10-18
159.649994,2013-10-21
161.75,2013-10-22
158.800003,2013-10-23
165.149994,2013-10-24
163.800003,2013-10-25
162.899994,2013-10-28
162.399994,2013-10-29
164.949997,2013-10-30
164.0,2013-10-31
167.800003,2013-11-01
167.5,2013-11-05
163.600006,2013-11-06
160.449997,2013-11-07
159.949997,2013-11-08
156.75,2013-11-11
154.649994,2013-11-12
144.399994,2013-11-13
144.350006,2013-11-14
147.600006,2013-11-18
144.649994,2013-11-19
145.25,2013-11-20
143.800003,2013-11-21
141.949997,2013-11-22
142.350006,2013-11-25
145.25,2013-11-26
145.149994,2013-11-27
147.5,2013-11-28
148.899994,2013-11-29
149.25,2013-12-02
146.75,2013-12-03
145.550003,2013-12-04
146.449997,2013-12-05
146.149994,2013-12-06
146.699997,2013-12-09
147.199997,2013-12-10
146.800003,2013-12-11
146.699997,2013-12-12
144.949997,2013-12-13
143.350006,2013-12-16
144.5,2013-12-17
148.0,2013-12-18
147.5,2013-12-19
153.149994,2013-12-20
154.550003,2013-12-23
157.149994,2013-12-24
161.100006,2013-12-26
158.050003,2013-12-27
159.800003,2013-12-30
160.300003,2013-12-31
160.25,2014-01-01
154.850006,2014-01-02
156.5,2014-01-03
156.600006,2014-01-06
156.449997,2014-01-07
156.949997,2014-01-08
157.050003,2014-01-09
156.0,2014-01-10
152.899994,2014-01-13
152.050003,2014-01-14
151.949997,2014-01-15
149.100006,2014-01-16
146.149994,2014-01-17
148.300003,2014-01-20
148.199997,2014-01-21
149.75,2014-01-22
148.050003,2014-01-23
144.199997,2014-01-24
141.399994,2014-01-27
138.899994,2014-01-28
142.100006,2014-01-29
140.649994,2014-01-30
141.149994,2014-01-31
140.850006,2014-02-03
143.100006,2014-02-04
143.100006,2014-02-05
141.149994,2014-02-06
143.399994,2014-02-07
143.75,2014-02-10
144.75,2014-02-11
144.0,2014-02-12
141.600006,2014-02-13
140.550003,2014-02-14
139.149994,2014-02-17
140.100006,2014-02-18
140.300003,2014-02-19
141.100006,2014-02-20
141.850006,2014-02-21
142.399994,2014-02-24
141.199997,2014-02-25
139.800003,2014-02-26
139.75,2014-02-28
136.300003,2014-03-03
140.25,2014-03-04
140.649994,2014-03-05
142.600006,2014-03-06
143.199997,2014-03-07
143.800003,2014-03-10
144.899994,2014-03-11
145.600006,2014-03-12
142.600006,2014-03-13
142.699997,2014-03-14
143.050003,2014-03-18
141.25,2014-03-19
141.350006,2014-03-20
143.300003,2014-03-21
0.0,2014-03-22
142.899994,2014-03-24
142.850006,2014-03-25
142.649994,2014-03-26
141.850006,2014-03-27
148.050003,2014-03-28
149.949997,2014-03-31
154.25,2014-04-01
153.350006,2014-04-02
151.449997,2014-04-03
152.199997,2014-04-04
151.399994,2014-04-07
154.25,2014-04-09
153.149994,2014-04-10
153.75,2014-04-11
153.25,2014-04-15
150.649994,2014-04-16
157.399994,2014-04-17
156.399994,2014-04-21
157.5,2014-04-22
155.850006,2014-04-23
155.850006,2014-04-24
152.850006,2014-04-25
152.800003,2014-04-28
151.25,2014-04-29
149.449997,2014-04-30
148.550003,2014-05-02
